,title,price,location,sales
177,诺基亚,139.0,广东 深圳,1107人收货
178,vivo Z5x,1198.0,广东 东莞,1107人收货
179,华为,749.0,广东 深圳,1102人收货
180,Nokia,129.0,广东 深圳,1100人收货
181,Xiaomi,3458.0,广东 深圳,1100人收货
182,Xiaomi,1298.0,广东 深圳,1099人收货
183,Huawei,2499.0,广东 深圳,1097人收货
184,Xiaomi,468.0,广东 深圳,1091人收货
185,纽曼V7 ,78.0,广东 深圳,1084人收货
187,Huawei,1099.0,广东 深圳,1078人收货
188,Huawei,1149.0,江苏 南京,1074人收货
189,苹果 iPhone 8plus ,2150.0,广东 深圳,1072人收货
190,华为,958.0,广东 深圳,1069人收货
191,Xiaomi,1298.0,广东 深圳,1062人收货
192,诺基亚,399.0,广东 深圳,1057人收货
193,苹果11 ,5258.0,浙江 杭州,1056人收货
194,一加七pro,2149.0,广东 深圳,1051人收货
195,苹果 iPhone XR iphonexr ,2710.0,北京,1045人收货
196,华为honor,1199.0,安徽 合肥,1043人收货
198,小辣椒K3,128.0,广东 深圳,1040人收货
199,华为Honor,1099.0,广东 深圳,1036人收货
200,小辣椒,389.0,广东 深圳,1029人收货
201,华为HONOR ,1699.0,山东 济南,1027人收货
202,苹果 iPhone XS Max,3380.0,广东 深圳,1022人收货
203,OPPO Reno Ace opporenoace,2999.0,广东 广州,1018人收货
204,小米,299.0,广东 深圳,1009人收货
205,OPPOReno Ace,2999.0,江苏 南京,1004人收货
207,Huawei,2199.0,广东 深圳,998人收货
208,华为,1099.0,广东 深圳,995人收货
209,Huawei,2499.0,辽宁 大连,993人收货
210,华为Mate30 ,3999.0,江苏 南京,993人收货
211,华为nova5z,1358.0,广东 深圳,989人收货
213,华为HONOR,599.0,江苏 南京,988人收货
214,小米vivo,399.0,广东 深圳,987人收货
216,Huawei,2699.0,广东 深圳,981人收货
217,小米vivo,489.0,广东 深圳,979人收货
219,华为honor,999.0,广东 深圳,964人收货
220,苹果 iPhone X ,2200.0,广东 深圳,955人收货
221,Huawei,125.0,广东 深圳,951人收货
222,苹果 iPhone XS Max,3300.0,广东 深圳,951人收货
223,纽曼 N99,58.0,广东 惠州,950人收货
224,苹果 iPhone X,3499.0,广东 深圳,950人收货
227,Huawei,1599.0,广东 深圳,943人收货
229,OPPO Reno Ace opporenoace,2999.0,上海,940人收货
230,Nokia,139.0,广东 深圳,926人收货
231,华为HONOR,1199.0,广东 深圳,924人收货
232,Samsung,1699.0,北京,922人收货
234,苹果iPhone 11 2019,5499.0,浙江 杭州,910人收货
235,Samsung,7999.0,北京,910人收货
236,朵唯P9,489.0,广东 深圳,900人收货
237,红米k30 ,1699.0,江苏 南京,898人收货
238,苹果 iPhone X  ,3600.0,广东 深圳,895人收货
239,苹果 iPhone 11 Pro Max,3550.0,上海,894人收货
240,Xiaomi,1099.0,山东 济南,890人收货
241,苹果 iPhone 8 Plus ,1399.0,广东 深圳,885人收货
242,OPPO R11,699.0,广东 深圳,874人收货
244,飞利浦E331K,98.0,广东 深圳,872人收货
245,华为,858.0,广东 深圳,867人收货
246,苹果 iPhone XR,3500.0,广东 深圳,866人收货
247,飞利浦 E163K ,119.0,江苏 南京,859人收货
248,华为honor,3028.0,广东 深圳,845人收货
250,vivo iQOO Neo 855,2598.0,广东 东莞,842人收货
251,OPPO K5 oppok5,1799.0,上海,841人收货
252,Huawei,1898.0,广东 深圳,837人收货
253,Huawei,2499.0,北京,829人收货
254,华为nova5,1368.0,广东 深圳,829人收货
255,华为honor,3038.0,广东 深圳,828人收货
256,Xiaomi,999.0,山东 济南,825人收货
258,华为honor,1599.0,广东 深圳,821人收货
259,红米k20pro,2399.0,北京,818人收货
260,vivo y67,260.0,广东 深圳,815人收货
261,Samsung,2458.0,上海,814人收货
263,华为nova5pro ,1388.0,广东 深圳,811人收货
264,华为nova5z,1369.0,河南 郑州,810人收货
266,华为 Mate 30 Pro 5G,6399.0,广东 深圳,800人收货
