,PhoneID,battery,year,month,brand,model,weight,CPU model,CPU freq,CPU cores,SIM cards,ROM,RAM,screen size,resolution,screen material,front camera,rear camera,rear camera specs,charging port,price,comments
85,1.00E+11,3920mAh （额定值），4000mAh（典型值）,2019年,10月,OPPO,OPPO K5,约182g,骁龙730G,,,2个,,,6.4英寸,2340*1080,AMOLED,,后置四摄,,Type-C,1799,99000
86,1.00E+11,4200mAh（典型值）,2019年,4月,HUAWEI,,192,麒麟980,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 1.8GHz,八核,2个,128GB,8GB,6.47英寸,2340×1080,OLED,3200万像素,4个,4000万+2000万+800万像素,Type-C,5487,91000
87,1.00E+11,4500,2019年,10月,vivo,iQOO Neo 855版,198.5,骁龙855,,,2个,,,6.38英寸,2340x1080,AMOLED,,后置三摄,,Type-C,2298,94000
88,1.00E+11,4000mAh,2019年,10月,OPPO,OPPO Reno Ace,约200g,骁龙855plus,,,2个,,,6.55英寸,2400*1080,AMOLED,,后置四摄,,Type-C,2999,92000
89,8348845,1500,2018年,7月,NOKIA,Nokia 8110,117,高通205移动平台,,,2个,,,2.4英寸,QVGA (320 x 240),其他,,后置单摄,,Micro USB,399,90000
90,1.00E+11,3750mAh（典型值）,2019年,9月,HUAWEI,荣耀20S,约172克（含电池） （备注：受产品配置和制造工艺影响，实际机身重量或有差异，请以实物为准）,HUAWEI Kirin 810 （麒麟810）,,,2个,,,6.26英寸,FHD+ 2340×1080像素,TFT LCD（IPS）,,后置三摄,,Type-C,1599,94000
91,1.00E+11,5000,2019年,9月,vivo,V1928A,191.5,骁龙665,,,2个,,,6.35英寸,1544x720,LCD,,后置三摄,,Micro USB,999,90000
92,1.00E+11,4200mAh（典型值）,2019年,4月,HUAWEI,,192,麒麟980,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 1.8GHz,八核,2个,128GB,8GB,6.47英寸,2340×1080,OLED,3200万像素,4个,4000万+2000万+800万像素,Type-C,5487,88000
93,1.00E+11,4200mAh（典型值）,2019年,4月,HUAWEI,P30 Pro,192,麒麟980,,,2个,,,6.47英寸,FHD+ 2340*1080 像素（备注：该分辨率对应标准矩形，实际屏幕采用圆角和珍珠屏设计，有效像素略少。）,OLED,,后置四摄,,Type-C,4988,88000
94,1.00E+11,3100（典型值）,2018年,9月,MEIZU,魅族 16 X,154,710,,,2个,,,6.0英寸,2160 x 1080 ,OLED,,后置双摄,,Type-C,999,88000
95,6425153,1400,2018年,1月,Philips,飞利浦 E171L,111.5,其他,,,2个,,,2.4英寸,320×240,TFT,,后置单摄,,Micro USB,168,86000
96,1.00E+11,4045,2019年,5月,realme,realme X青春版,172,骁龙710,,,2个,,,6.3英寸,2340*1080,LCD,,后置双摄,,Micro USB,1199,85000
97,1.00E+11,4000,2019年,9月,realme,realme X2,182,骁龙730G,,,其他,,,6.4英寸,1080×2340,AMOLED,,后置四摄,,Type-C,1899,86000
98,1.00E+11,4000mAh（typ）/3900mAh（min）,2019年,5月,XIAOMI,Redmi K20Pro,191,骁龙855,,,2个,,,6.39英寸,以官网信息为准,其他,,后置三摄,,Type-C,2999,83000
99,5204048,3600mAh,2018年,9月,K-Touch,T3,195,其他,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,138,82000
100,1.00E+11,1700,2019年,6月,Philips,飞利浦E517,109,其他,,,2个,,,2.4英寸,其他,TFT,,后置单摄,,Micro USB,299,82000
101,3057956,1200,2017年,5月,,L550,100,其他,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,168,80000
102,1.00E+11,5000mAh（typ）*,2019年,10月,,Redmi 8A,188,骁龙439（SDM439）,,,2个,,,6.22英寸,1520*720,其他,,后置单摄,,Type-C,699,83000
103,1.00E+11,5000,2019年,4月,nubia,努比亚红魔3,215,骁龙855,,,2个,,,6.65英寸,2340×1080,AMOLED,,后置单摄,,Type-C,2399,79000
104,1.00E+11,,,,,,,,,,,,,,,,,,,,282,78000
105,1.00E+11,4000mAh（典型值）,2019年,7月,HUAWEI,荣耀9X PRO,206g 备注：实际重量依配置、制造工艺、测量方法的不同可能有所差异。,Hisilicon Kirin 810,,,其他,,,6.59英寸,1080*2340,LTPS,,后置三摄,,Type-C,1799,76000
106,1.00E+11,以官网信息为准,2018年,9月,Apple,,177,其他,其他,其他,1个,64GB,其他,5.8英寸,2436×1125,OLED,700万像素,2个,双1200万像素,Lightning（iPhone）,9098,75000
107,1.00E+11,1700,2019年,3月,Philips,E319,112,其他,,,2个,,,2.8英寸,240x320,TFT,,后置单摄,,Micro USB,199,74000
108,1.00E+11,,,,,,,,,,,,,,,,,,,,899,74000
109,4270023,800,2018年,11月,K-Touch,E2,78,其他,,,1个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,129,73000
110,1.00E+11,5000mAh（typ）*,2019年,10月,,Redmi 8A,188,骁龙439（SDM439）,,,2个,,,其他英寸,1520*720,其他,,后置单摄,,Type-C,699,73000
111,1.00E+11,4500mAh（typ）,2019年,8月,,Redmi Note8 Pro,199.8,Helio G90T,,,2个,,,6.53英寸,2340*1080 FHD+,其他,,后置四摄,,Type-C,1399,74000
112,1.00E+11,4000,2019年,5月,,,206,骁龙855,,,2个,,,6.67,3120*1440 pixels  515 ppi,AMOLED,,后置三摄,,Type-C,4559,79000
113,1.00E+11,,,,,,,,,,,,,,,,,,,,9098,72000
114,4034064,1020,2016年,11月,NOKIA,Nokia  216,82.6,其他,,,2个,,,2.4英寸,320x240,其他,,后置单摄,,Micro USB,299,71000
115,1.00E+11,4000mAh（typ）*3900mAh（min）,2019年,8月,,Redmi Note8,190,骁龙665,,,2个,,,6.3英寸,2340*1080 FHD+,其他,,后置四摄,,Type-C,899,70000
116,4526055,1400,2019年,以官网信息为准,K-Touch,N1,100,其他,,,2个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,99,71000
117,29206267845,4000mAh（typ）/3900mAh（min）,2019年,5月,XIAOMI,红米7a,约165,,,,2个,,,,,其他,,,,Micro USB,539,70000
118,1.00E+11,1000,2018年,10月,Philips,E108,72,其他,,,2个,,,1.77英寸,240*320以下,TFT,,无后置摄像头,,Micro USB,79,70000
119,1.00E+11,4030mAh,2019年,7月,XIAOMI,小米 CC 9e屏幕指纹 3200万美颜自拍 4800万超广角三摄 6GB+64GB 白色恋人 全网通 水滴全面屏游戏拍照手机,173.8,骁龙665,,,2个,,,6.088英寸,1560 x 720,AMOLED,,后置三摄,,Type-C,999,71000
120,1.00E+11,4200mAh（典型值）,2019年,4月,HUAWEI,,192,麒麟980,2*Cortex-A76 Based 2.6GHz+ 2*Cortex-A76 Based 1.92GHz+ 4*Cortex-A55 1.8GHz,八核,2个,256GB,8GB,6.47英寸,2340×1080,OLED,3200万像素,4个,4000万+2000万+800万像素,Type-C,5987,70000
121,1.00E+11,4200mAh（典型值）,2019年,4月,HUAWEI,P30 Pro,192,麒麟980,,,2个,,,6.47英寸,FHD+ 2340*1080 像素（备注：该分辨率对应标准矩形，实际屏幕采用圆角和珍珠屏设计，有效像素略少。）,OLED,,后置四摄,,Type-C,5488,70000
122,1.00E+11,3600,2019年,4月,MEIZU,魅族 16s,165,骁龙855,,,2个,,,6.2英寸,2232 x 1080 ,OLED,,后置双摄,,Type-C,2299,69000
123,1.00E+11,,,,,,,,,,,,,,,,,,,,1599,69000
124,3315699,760mAh,2016年,以官网信息为准,,,40g,--,--,其他,1个,其他,其他,其他,其他,其他,无,无,无,Micro USB,169,63000
125,1.00E+11,1500,2018年,7月,NOKIA,Nokia 8110,117,高通205移动平台,,,2个,,,2.4英寸,QVGA (320 x 240),其他,,后置单摄,,Micro USB,419,63000
126,2321960,1200,2016年,1月,NOKIA,Nokia 230,91.8,其他,,,2个,,,2.8英寸,320x240,其他,,后置单摄,,Micro USB,399,63000
127,1.00E+11,3400mAh（典型值）,2019年,3月,SAMSUNG,三星 Galaxy S10 8GB+512GB炭晶黑（SM-G9730）,157,骁龙855,,,2个,,,6.1英寸,3040 x 1440,Dynamic AMOLED,,后置三摄,,Type-C,4899,61000
128,1.00E+11,4000mAh(typ),2019年,9月,,黑鲨游戏手机2 Pro,205,骁龙855plus,,,2个,,,6.39英寸,2340×1080,AMOLED,,后置双摄,,Type-C,3499,61000
129,1202626888,1950,2019年,5月,誉品,Y550,145,,,,2个,,,,,TFT,,,,Micro USB,208,61000
130,4270047,800,2018年,11月,K-Touch,E2,78,其他,,,1个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,129,420000
131,1.00E+11,800,2018年,11月,K-Touch,E2,78,其他,,,1个,,,2.4英寸,240*320,TFT,,后置单摄,,Micro USB,129,420000
132,4270025,,,,,,,,,,,,,,,,,,,,129,420000
133,1.00E+11,6000mAh(typ)/5800mAh(min),2019年,7月,,ROG游戏手机2,240,骁龙855plus,,,2个,,,其他英寸,2340*1080,AMOLED,,后置双摄,,Type-C,3499,58000
134,7701235,3100,2018年,6月,Meitu,T9,183,高通骁龙660,,,2个,,,6.01英寸,2160*1080,AMOLED,,后置双摄,,Type-C,1299,58000
135,1.00E+11,4000mAh(typ) / 3900mAh(min) ,2019年,9月,,小米9 Pro5G,196g,骁龙855plus,,,2个,,,6.39英寸,2340 x 1080,AMOLED,,后置三摄,,Type-C,3799,60000
136,28331229416,3020,2018年,5月,HUAWEI,畅玩7,约142(含电池),,,,2个,,,,,其他,,,,Micro USB,429,56000
137,25321808903,1050,2018年,以官网信息为准,Philips,飞利浦（PHILIPS）电信老人手机,130,其他,,,1个,,,2.0英寸,240×320,TFT,,后置单摄,,Micro USB,169,55000
138,3860259,1530,2017年,2月,Philips,311,112.5,其他,,,2个,,,2.4英寸,240x320,其他,,后置单摄,,Micro USB,229,55000
139,15196289452,,,,,,,,,,,,,,,,,,,,129,55000
140,1.00E+11,1000,2018年,以官网信息为准,,107,78,其他,,,2个,,,1.77英寸,其他,其他,,无后置摄像头,,Micro USB,99,55000
141,1.00E+11,4030mAh,2019年,7月,XIAOMI,小米 CC 9e屏幕指纹 3200万美颜自拍 4800万超广角三摄 6GB+64GB 深蓝星球 全网通 水滴全面屏游戏拍照手机,173.8,骁龙665,,,2个,,,6.088英寸,1560 x 720,AMOLED,,后置三摄,,Type-C,999,54000
142,28245104630,3000mAh（典型值）,2018年,6月,HUAWEI,荣耀9i,152,其他,,,2个,,,5.84英寸,2280x1080,其他,,后置双摄,,Micro USB,1149,54000
143,1.00E+11,4000mAh（typ）*3900mAh（min）,2019年,8月,,Redmi Note8,190,骁龙665,,,2个,,,6.3英寸,2340*1080 FHD+,其他,,后置四摄,,Type-C,899,54000
144,1754478138,1200,2015年,以官网信息为准,索爱,Z6,160,其他,,,2个,,,2.8英寸,596118,其他,,无后置摄像头,,Micro USB,209,53000
145,1.00E+11,4500mAh（typ）,2019年,8月,,Redmi Note8 Pro,199.8,Helio G90T,,,2个,,,6.53英寸,2340*1080 FHD+,其他,,后置四摄,,Type-C,1199,54000
146,1.00E+11,3800,2018年,11月,nubia,努比亚红魔Mars,193,骁龙845（SDM845）,,,2个,,,6.0英寸,2160*1080,TFT,,后置单摄,,Type-C,2099,53000
